name	arcana	affiliation	value	keyword	summary	note	imgfile	gt-individual	gt-location	gt-organization	gt-situation	gt-creature	gt-item
ANTHROPOS	Major	Divine	1	Imprisoned by	One of the three most powerful cards in the Kult Tarot, Demiurgos represents the Demiurge: The original architect of Mankind's prison, the ruler who is now lost. Demiurgos is a powerful sign that this reading favours the Archons and their machinations.	Because of the unique significance of Demiurgos, a second card has been drawn and paired with it to reveal how the power of Demiurgos manifests in the context of this reading.	major-1.webp	the mastermind of a vast conspiracy	a reflection of the Demiurge's vanished Citadel	the descendants of a dead civilization	a connection to the lost Demiurge Itself	beasts of Metropolis	Machinery of Death and Rebirth
DEMIURGOS	Major	Divine	2	Hellish	One of the three most powerful cards in the Kult Tarot, Astaroth is the Ruler of Inferno and Shadow of the Demiurge, who seeks to subvert Elysium away from the Powers of Metropolis. Astaroth is a powerful sign that this reading favours the Death Angels and their machinations.	Because of the unique significance of Astaroth, a second card has been drawn and paired with it to reveal how the power of Astaroth manifests in the context of this reading.	major-2.webp	a mole who has the trust of a Lichtor	Inferno	mysterious influence from behind the Veil	a direct connection to Astaroth	that which comes from death	Machinery of Death and Rebirth
ASTAROTH	Major	Archon	3	the Archon of Hierarchy	Kether's influence manifests as hierarchical structures with masters and servants, widening class gaps, and an aristocracy with power and benefits.	The card shows a connection or opposition to the Archon and/or its Principle. The bond might be in the present, the past, or something that is about to happen.	major-3.webp	a butler who knows more than he'll willingly share	the temple of a strict faith		entwined wills, master and slave		
Kether	Major	Archon	4	the Archon of Submission	Chokmah's influence manifests as the submission to religious leaders, martyrdom, fanaticism, theocratic rule, and dogmatism. It exists virtually everywhere religion can be found.	The card shows a connection or opposition to the Archon and/or its Principle. The bond might be in the present, the past, or something that is about to happen.	major-4.webp	a flaggelant with infected wounds	the temple of a strict faith		entwined wills, master and slave		
Chokmah	Major	Archon	5	the Archon of Community	Binah's influence manifests as the family's power over the individual, mistrust of the state and other authorities outside of the family, strengthened traditions, and the distrust of strangers.	The card shows a connection or opposition to the Archon and/or its Principle. The bond might be in the present, the past, or something that is about to happen.	major-5.webp	a battered housewife					
Binah	Major	Archon	6	the Archon of Safety	Chesed's influence manifests as people's longing for safety, the desire to feel comfortable and safe from dangers threatening you, encouraging friendly behavior, and the sense that you are protected against the unknown and dangerous.	The card shows a connection or opposition to the Archon and/or its Principle. The bond might be in the present, the past, or something that is about to happen.	major-6.webp	a surprisingly-intelligent security guard	a dark vault				
Chesed	Major	Archon	7	the Archon of Law	Geburah's influence generates bureaucratic institutions, stricter laws, increased policing, and societal control over its citizenry. Those so influenced yield to increased control, typically out of their fear of chaos.	The card shows a connection or opposition to the Archon and/or its Principle. The bond might be in the present, the past, or something that is about to happen.	major-7.webp	a prison warden					
Geburah	Major	Archon	8	the Archon of Allure	Tiphareth's influence incites a manic craving for beauty and affirmation, which must be fulfilled by any means necessary. Celebrities are worshipped as prophets, the mediocre waste their days imbibing the internet and television shows, and despise and ignore anyone who doesn't meet the social 'norms.'	The card shows a connection or opposition to the Archon and/or its Principle. The bond might be in the present, the past, or something that is about to happen.	major-8.webp	a socially-isolated Muslim who is being radicalized			resplendent beauty hides an ugly truth		
Tiphareth	Major	Archon	9	the Archon of Victory	Netzach's influence strengthens patriotism and nationalism, unites societies against a common enemy, and feeds the us-versus-them mentality. The righteous obliterate all that threaten them, strengthen their military, justify their violence in the name of the Greater Good, and incite people to arm themselves.	The card shows a connection or opposition to the Archon and/or its Principle. The bond might be in the present, the past, or something that is about to happen.	major-9.webp	the manager of a corporiate acquisitions branch					
Netzach	Major	Archon	10	the Archon of Honor	Hod's influence conflates honor with prestige, elevates one's status among others above all else, and sets the law aside in favor of personal vendettas. Expecting admiration for their adherence to their inflexible values, the honor-bound ruthlessly ostracize any who have brought shame upon themselves by failing to uphold their honor and fulfil the many duties it demands.	The card shows a connection or opposition to the Archon and/or its Principle. The bond might be in the present, the past, or something that is about to happen.	major-10.webp						
